"LAKENUMBER_TO_USE"	"Lac"	"Mesure"	"date"	"Green_Algae_ug.L"	"Bluegreen_ug.L"	"Diatoms_ug.L"	"Cryptophyta_ug.L"	"Yellow.sub_ug.L"	"Total_conc_ug.L"	"treatment"	"Year"	"Month"	"Day"
5	"LAC 5"	"Mesure 1"	2016-04-14 16:27:00	10.5533333333333	0	5.35333333333333	0	0.903333333333333	15.91	"Perch - Control"	2016	4	14
5	"LAC 5"	"Mesure 1"	2016-11-21 16:41:00	4.2	0	4.87333333333333	0	0.926666666666667	9.07666666666667	"Perch - Control"	2016	11	21
5	"LAC 5"	"Mesure 1"	2016-07-20 15:04:00	0.813333333333333	0.136666666666667	1.51333333333333	0	0.893333333333333	2.46	"Perch - Control"	2016	7	20
5	"LAC 5"	"Mesure 1"	2016-12-15 17:45:00	2.15	0.996666666666667	2.58	0	1.29333333333333	5.72666666666667	"Perch - Control"	2016	12	15
6	"LAC 6"	"Mesure 1"	2016-12-15 17:48:00	9.75	0.966666666666667	7.21	1.78333333333333	2.58666666666667	19.7133333333333	"Perch - Phosphorus"	2016	12	15
6	"LAC 6"	"Mesure 1"	2016-05-17 15:54:00	9.84666666666667	0	4	0	0.3	13.8466666666667	"Perch - Phosphorus"	2016	5	17
6	"LAC 6"	"Mesure 1"	2016-09-22 14:29:00	19.4866666666667	15.8	2.50333333333333	0	4.25666666666667	37.7866666666667	"Perch - Phosphorus"	2016	9	22
6	"LAC 6"	"Mesure 1"	2016-02-17 16:14:00	5.87666666666667	0.23	5.69666666666667	0	0.473333333333333	11.8066666666667	"Perch - Phosphorus"	2016	2	17
6	"LAC 6"	"Mesure 1"	2016-06-20 15:42:00	9.52	0	0.76	0	0.86	10.28	"Perch - Phosphorus"	2016	6	20
6	"LAC 6"	"Mesure 1"	2016-10-18 14:45:00	36.02	0	5.59333333333333	0	3.62666666666667	41.6133333333333	"Perch - Phosphorus"	2016	10	18
6	"LAC 6"	"Mesure 1"	2016-03-22 15:05:40	4.87	0	1.77333333333333	0	0.74	6.64	"Perch - Phosphorus"	2016	3	22
6	"LAC 6"	"Mesure 1"	2016-08-23 14:46:00	73.29	0	6.37	0	1.72333333333333	79.6633333333333	"Perch - Phosphorus"	2016	8	23
6	"LAC 6"	"Mesure 1"	2016-07-20 15:06:00	10.2633333333333	5.16	1.04	0	1.34333333333333	16.4666666666667	"Perch - Phosphorus"	2016	7	20
6	"LAC 6"	"Mesure 1"	2016-11-21 16:43:00	0	2.55	6.43	0.99	6.2	9.97	"Perch - Phosphorus"	2016	11	21
6	"LAC 6"	"Mesure 1"	2016-04-14 16:30:00	12.3033333333333	0	2.11333333333333	0	1.03333333333333	14.4133333333333	"Perch - Phosphorus"	2016	4	14
6	"LAC 6"	"Mesure 1"	2016-01-13 17:22:00	7.4	0.743333333333333	1.35	0	0.91	9.49666666666667	"Perch - Phosphorus"	2016	1	13
